iter	Passed	Remaining
567	34007	25865
568	34060	25800
569	34122	25741
570	34183	25682
571	34243	25623
572	34301	25561
573	34360	25500
574	34421	25442
575	34481	25381
576	34542	25323
577	34604	25264
578	34665	25205
579	34726	25146
580	34788	25088
581	34840	25023
582	34895	24959
583	34954	24899
584	35014	24839
585	35074	24779
586	35136	24721
587	35200	24664
588	35261	24605
589	35322	24545
590	35377	24482
591	35434	24421
592	35498	24363
593	35554	24301
594	35613	24240
595	35674	24182
596	35733	24121
597	35789	24058
598	35845	23997
599	35905	23936
600	35965	23877
601	36025	23817
602	36086	23758
603	36141	23695
604	36203	23636
605	36264	23577
606	36323	23517
607	36378	23454
608	36436	23393
609	36492	23331
610	36550	23270
611	36611	23211
612	36677	23155
613	36738	23096
614	36797	23036
615	36852	22973
616	36911	22912
617	36964	22848
618	37026	22790
619	37081	22727
620	37141	22667
621	37197	22605
622	37257	22545
623	37316	22485
624	37374	22424
625	37434	22364
626	37493	22304
627	37552	22244
628	37613	22185
629	37674	22126
630	37733	22065
631	37786	22002
632	37840	21939
633	37895	21876
634	37958	21818
635	38018	21759
636	38077	21698
637	38140	21640
638	38199	21580
639	38255	21518
640	38318	21460
641	38376	21399
642	38432	21338
643	38491	21277
644	38551	21218
645	38614	21160
646	38669	21097
647	38728	21037
648	38785	20976
649	38838	20912
650	38892	20850
651	38950	20789
652	39008	20728
653	39068	20669
654	39129	20610
655	39190	20550
656	39249	20490
657	39305	20429
658	39366	20370
659	39430	20312
660	39486	20251
661	39546	20191
662	39603	20130
663	39662	20069
664	39722	20010
665	39780	19949
666	39846	19893
667	39901	19831
668	39959	19770
669	40018	19710
670	40079	19651
671	40139	19592
672	40200	19532
673	40270	19478
674	40330	19418
675	40390	19358
676	40451	19299
677	40508	19238
678	40564	19177
679	40626	19118
680	40686	19058
681	40745	18998
682	40799	18936
683	40859	18876
684	40919	18817
685	40979	18757
686	41037	18696
687	41091	18634
688	41149	18573
689	41208	18514
690	41268	18454
691	41327	18394
692	41386	18334
693	41449	18275
694	41504	18214
695	41567	18155
696	41625	18095
697	41677	18032
698	41737	17972
699	41798	17913
700	41856	17853
701	41916	17793
702	41977	17734
703	42039	17675
704	42101	17617
705	42160	17557
706	42219	17496
707	42276	17436
708	42335	17376
709	42398	17317
710	42457	17257
711	42519	17198
712	42580	17139
713	42640	17080
714	42702	17021
715	42760	16960
716	42818	16900
717	42878	16840
718	42932	16778
719	42986	16716
720	43043	16656
721	43124	16604
722	43183	16544
723	43238	16483
724	43304	16425
725	43362	16365
